Name	numMappedReads	numReadsFwd	numReadsRev	numHybpiperCds	gradeName	cladeName	orderName	familyName	genusName	speciesName	cvalue	sampleName	genusIn1KP	familyIn1KP	orderIn1KP	Category	Picked	InFirstSheet	NumReads	ReadsMapped	PctOnTarget	GenesMapped	GenesWithContigs	GenesWithSeqs	GenesAt25pct	GenesAt50pct	GenesAt75pct	Genesat150pct	ParalogWarnings
P03-08H	210349	202717	202717	165	Rosids	bitterbushes	Picramniales	Picramniaceae	Alvaradoa	amorphoides	1.22	P03-08H_S64	FALSE	FALSE	FALSE	1	YES	TRUE	383987	69903	0.182	346	218	208	155	73	23	0	0
P01-09E	179690	197116	197116	156	monocots_late	commelinids	Commelinales	Haemodoraceae	Anigozanthos	bicolor	0.93	P01-09E_S26	FALSE	FALSE	FALSE	1	YES	TRUE	322926	55127	0.171	349	184	167	122	62	26	0	0
P01-08F	1334385	394741	394741	344	Asterids	lamiids	Bruniales	Bruniaceae	Berzelia	lanuginosa	0.46	P01-08F_S53	FALSE	FALSE	FALSE	1	YES	TRUE	690590	215961	0.313	352	344	326	304	224	134	0	34
P01-11C	260081	260266	260266	263	monocots_early	petrosavias	Petrosaviales	Petrosaviaceae	Japonolirion	osense	1.9	P01-11C_S28	FALSE	FALSE	FALSE	1	YES	TRUE	413308	56860	0.138	350	272	259	218	132	54	0	0
P03-02H	1670393	289994	289994	344	Asterids	lamiids	Metteniusales	Metteniusaceae	Metteniusa	sp.	7.24	P03-02H_S16	FALSE	FALSE	FALSE	1	YES	TRUE	543003	283878	0.523	353	349	335	315	249	160	1	41
P03-03E	1293005	500257	500257	325	Asterids	lamiids	Paracryphiales	Paracryphiaceae	Quintinia	oreophila	1.51	P03-03E_S21	FALSE	FALSE	FALSE	1	YES	TRUE	931488	305440	0.328	353	346	341	327	260	159	0	6
P01-04D	937282	493962	493962	316	Asterids	lamiids	Vahliales	Vahliaceae	Vahlia	capensis	0.17	P01-04D_S47	FALSE	FALSE	FALSE	1	YES	TRUE	769611	149277	0.194	352	320	313	288	203	109	0	7
P02-12A	181568	52023	52023	223	Rosids	fabids	Rosales	Barbeyaceae	Barbeya	oleioides	1.52	P02-12A_S57	FALSE	FALSE	TRUE	2	YES	TRUE	99462	37150	0.374	342	247	237	202	118	59	0	8
P03-09A	182729	187593	187593	114	monocots_late	liliids	Asparagales	Blandfordiaceae	Blandfordia	punicea	8.13	P03-09A_S65	FALSE	FALSE	TRUE	2	YES	TRUE	334111	65901	0.197	348	203	191	133	53	16	0	0
P01-05H	2001667	303967	303967	346	Rosids	malvids	Oxalidales	Brunelliaceae	Brunellia	mexicana	0.17	P01-05H_S8	FALSE	FALSE	TRUE	2	YES	TRUE	521006	307152	0.59	353	347	343	337	319	244	0	5
P01-05A	404133	1288487	1288487	239	monocots_early	alismatids	Alismatales	Butomaceae	Butomus	umbellatus	5.63	P01-05A_S86	FALSE	FALSE	TRUE	2	REPLACE	TRUE	2071177	376783	0.182	353	258	227	191	95	39	0	3
P02-01D	676659	105547	105547	329	Rosids	bladdernuts	Crossosomatales	Crossosomataceae	Crossosoma	californicum	0.34	P02-01D_S49	FALSE	FALSE	TRUE	2	YES	TRUE	203408	119156	0.586	352	335	328	313	268	166	1	14
P03-01C	768946	291751	291751	320	Rosids	malvids	Malpighiales 	Humiriaceae	Duckesia	verrucosa	0.52	P03-01C_S3	FALSE	FALSE	TRUE	2	YES	TRUE	560651	144154	0.257	352	336	331	316	256	170	0	1
