Code	Order	Family	Genus	Species
URDJ	Amborellales	Amborellaceae	Amborella	Amborella_trichopoda
WTKZ	Nymphaeales	Nymphaeaceae	Nuphar	Nuphar_advena
PZRT	Nymphaeales	Nymphaeaceae	Nymphaea	Nymphaea_sp
FZJL	Austrobaileyales	Austrobaileyaceae	Austrobaileya	Austrobaileya_scandens
VZCI	Austrobaileyales	Schisandraceae	Illicium	Illicium_floridanum
ROAP	Austrobaileyales	Schisandraceae	Illicium	Illicium_parviflorum
NWMY	Austrobaileyales	Schisandraceae	Kadsura	Kadsura_heteroclita
MTII	Acorales	Acoraceae	Acorus	Acorus_americanus
DWZT	Alismatales	Alismataceae	Sagittaria	Sagittaria_latifolia
MFIN	Alismatales	Araceae	Pistia	Pistia_stratiotes
YMES	Alismatales	Araceae	Typhonium	Typhonium_blumei
COCP	Alismatales	Juncaginaceae	Triglochin	Triglochin_maritima
BYQM	Alismatales	Posidoniaceae	Posidonia	Posidonia_australis
VVVV	Pandanales	Cyclanthaceae	Ludovia	Ludovia_sp
DGXS	Pandanales	Pandanaceae	Freycinetia	Freycinetia_multiflora
VBHQ	Pandanales	Stemonaceae	Stemona	Stemona_tuberosa
SILJ	Pandanales	Velloziaceae	Talbotia	Talbotia_elegans
QOXT	Pandanales	Velloziaceae	Xerophyta	Xerophyta_villosa
OCWZ	Dioscoreales	Dioscoreaceae	Dioscorea	Dioscorea_villosa
NHIX	Liliales	Colchicaceae	Colchicum	Colchicum_autumnale
OVRB	Liliales	Colchicaceae	Colchicum	Colchicum_autumnale
QNPH	Liliales	Colchicaceae	Colchicum	Colchicum_autumnale
SFCT	Liliales	Colchicaceae	Colchicum	Colchicum_autumnale
GDKK	Liliales	Colchicaceae	Gloriosa	Gloriosa_superba
THEW	Liliales	Liliaceae	Lilium	Lilium_sargentiae
OOSO	Liliales	Melanthiaceae	Helonias	Helonias_bullata
AFLV	Liliales	Melanthiaceae	Xerophyllum	Xerophyllum_asphodeloides
MWYQ	Liliales	Smilacaceae	Smilax	Smilax_bona-nox
PRFO	Asparagales	Agapanthaceae	Agaphanthus	Agapanthus_africanus
KBXS	Asparagales	Amaryllidaceae	Allium	Allium_commutatum
GJPF	Asparagales	Amaryllidaceae	Allium	Allium_sativum
LDME	Asparagales	Amaryllidaceae	Amaryllis	Amaryllis_belladonna
IQYY	Asparagales	Amaryllidaceae	Narcissus	Narcissus_viridiflorus
TRRQ	Asparagales	Amaryllidaceae	Narcissus	Narcissus_viridiflorus
XEUV	Asparagales	Amaryllidaceae	Narcissus	Narcissus_viridiflorus
DMIN	Asparagales	Amaryllidaceae	Phycella	Phycella_aff_cyrtanthoides
JDTY	Asparagales	Amaryllidaceae	Rhodophiala	Rhodophiala_pratensis
ZKPF	Asparagales	Amaryllidaceae	Traubia	Traubia_modesta
DPFW	Asparagales	Amaryllidaceae	Zephyranthes	Zephyranthes_treatiae
KXSK	Asparagales	Asparagaceae	Agave	Agave_tequilana
FGRF	Asparagales	Asparagaceae	Asparagus	Asparagus_densiflorus
IXEM	Asparagales	Asparagaceae	Brodiaea	Brodiaea_sierrae
PLBZ	Asparagales	Asparagaceae	Chlorogalum	Chlorogalum_pomeridianum
UZXL	Asparagales	Asparagaceae	Disporopsis	Disporopsis_pernyi
SVTS	Asparagales	Asparagaceae	Drimia	Drimia_altissima
ONBE	Asparagales	Asparagaceae	Eriospermum	Eriospermum_lancifolia
CMCY	Asparagales	Asparagaceae	Hesperaloe	Hesperaloe_parviflora
MUMD	Asparagales	Asparagaceae	Lomandra	Lomandra_longifolia
XFJG	Asparagales	Asparagaceae	Maianthemum	Maianthemum_canadense
RCUX	Asparagales	Asparagaceae	Maianthemum	Maianthemum_sp
HOKG	Asparagales	Asparagaceae	Nolina	Nolina_atopocarpa
RQZP	Asparagales	Asparagaceae	Nolina	Nolina_bigelovii
TCYS	Asparagales	Asparagaceae	Peliosanthes	Peliosanthes_minor
LSJW	Asparagales	Asparagaceae	Ruscus	Ruscus_sp
MVRF	Asparagales	Asparagaceae	Sansevieria	Sansevieria_trifasciata
KOFB	Asparagales	Asparagaceae	Urginea	Urginea_maritima
YBML	Asparagales	Asparagaceae	Yucca	Yucca_brevifolia
ICNN	Asparagales	Asparagaceae	Yucca	Yucca_filamentosa
JVBR	Asparagales	Asphodelaceae	Aloe	Aloe_vera
JHUL	Asparagales	Asphodelaceae	Hemerocallis	Hemerocallis_sp
BLAJ	Asparagales	Asphodelaceae	Hemerocallis	Hemerocallis_spp
WTDE	Asparagales	Asphodelaceae	Johnsonia	Johnsonia_pubescens
FCEL	Asparagales	Asphodelaceae	Phormium	Phormium_tenax
EMJJ	Asparagales	Boryaceae	Borya	Borya_sphaerocephala
YJUG	Asparagales	Hypoxidaceae	Curculigo	Curculigo_sp
LTZF	Asparagales	Iridaceae	Sisyrinchium	Sisyrinchium_angustifolium
XZME	Asparagales	Orchidaceae	Drakaea	Drakaea_elastica
VTUS	Asparagales	Orchidaceae	Goodyera	Goodyera_pubescens
LELS	Asparagales	Orchidaceae	Haemaria	Haemaria_discolor
JSAG	Asparagales	Orchidaceae	Masdevallia	Masdevallia_yuangensis
CNTZ	Asparagales	Orchidaceae	Oncidium	Oncidium_sphacelatum
MTHW	Asparagales	Orchidaceae	Platanthera	Platanthera_clavellata
THDM	Asparagales	Orchidaceae	Vanilla	Vanilla_planifolia
RDYY	Asparagales	Tecophilaeaceae	Cyanastrum	Cyanastrum_cordifolium
KYNE	Asparagales	Tecophilaeaceae	Cyanella	Cyanella_orchidiformis
SART	Asparagales	Xeronemataceae	Xeronema	Xeronema_callistemon
QGLJ	Arecales	Arecaceae	Cocos	Cocos_nucifera
NSPR	Arecales	Arecaceae	Nypa	Nypa_fruticans
HWUP	Arecales	Arecaceae	Sabal	Sabal_bermudana
HXJE	Arecales	Arecaceae	Serenoa	Serenoa_repens
TZNS	Zingiberales	Cannaceae	Canna	Canna_sp
KNKV	Zingiberales	Heliconiaceae	Heliconia	Heliconia_sp
TNWF	Zingiberales	Heliconiaceae	Heliconia	Heliconia_sp
XHHU	Zingiberales	Heliconiaceae	Heliconia	Heliconia_sp
LSKK	Zingiberales	Lowiaceae	Orchidantha	Orchidantha_maxillarioides
JNUB	Zingiberales	Marantaceae	Maranta	Maranta_leuconeura
UOEL	Zingiberales	Strelitziaceae	Strelitzia	Strelitzia_reginae
JQCX	Zingiberales	Zingiberaceae	Curcuma	Curcuma_longa
LEMW	Zingiberales	Zingiberaceae	Curcuma	Curcuma_longa
OYLU	Zingiberales	Zingiberaceae	Curcuma	Curcuma_longa
BDJQ	Zingiberales	Zingiberaceae	Zingiber	Zingiber_officinale
BYPY	Poales	Bromeliaceae	Brocchinia	Brocchinia_reducta
PWSG	Poales	Cyperaceae	Cyperus	Cyperus_papyrus
WBIB	Poales	Cyperaceae	Lepidosperma	Lepidosperma_gibsonii
XPAF	Poales	Cyperaceae	Mapania	Mapania_palustris
WXNT	Poales	Joinvilleaceae	Joinvillea	Joinvillea_ascendens
CIEA	Poales	Juncaceae	Juncus	Juncus_inflexus
HATH	Poales	Poaceae	Aristida	Aristida_stricta
RMVB	Poales	Poaceae	Avena	Avena_fatua
ROEI	Poales	Poaceae	Cymbopogon	Cymbopogon_nardus
IADP	Poales	Poaceae	Deschampsia	Deschampsia_cespitosa
CXSJ	Poales	Poaceae	Eleusine	Eleusine_coracana
EFCZ	Poales	Poaceae	Eleusine	Eleusine_coracana
ICOX	Poales	Poaceae	Eleusine	Eleusine_coracana
OMXG	Poales	Poaceae	Eleusine	Eleusine_coracana
PZAP	Poales	Poaceae	Eleusine	Eleusine_coracana
TIJL	Poales	Poaceae	Eleusine	Eleusine_coracana
YPIC	Poales	Poaceae	Microstegium	Microstegium_vimineum
ZENX	Poales	Poaceae	Neurachne	Neurachne_alopecuroidea
BPKH	Poales	Poaceae	Neurachne	Neurachne_annularis
VQYB	Poales	Poaceae	Neurachne	Neurachne_lanigera
BXAY	Poales	Poaceae	Neurachne	Neurachne_minor
ZMGN	Poales	Poaceae	Neurachne	Neurachne_munroi
NNOK	Poales	Poaceae	Neurachne	Neurachne_tenuifolia
SOHV	Poales	Poaceae	Panicum	Panicum_miliaceum
XUAB	Poales	Poaceae	Paraneurachne	Paraneurachne_muelleri
XBKS	Poales	Poaceae	Thyridolepis	Thyridolepis_mitchelliana
WCOR	Poales	Poaceae	Thyridolepis	Thyridolepis_multiculmis
YXNR	Poales	Poaceae	Triodia	Triodia_aff_bynoei
GZSF	Poales	Poaceae	Uniola	Uniola_paniculata
RCAH	Poales	Poaceae	Uniola	Uniola_paniculata
YLWW	Poales	Poaceae	Uniola	Uniola_paniculata
BSTR	Poales	Restionaceae	Chodropetalum	Chondropetalum_tectorum
PPQR	Poales	Typhaceae	Typha	Typha_angustifolia
BRUD	Poales	Typhaceae	Typha	Typha_latifolia
NPND	Ceratophyllales	Ceratophyllaceae	Ceratophyllum	Ceratophyllum_demersum
WZFE	Chloranthales	Chloranthaceae	Ascarina	Ascarina_rubricaulis
OSHQ	Chloranthales	Chloranthaceae	Sarcandra	Sarcandra_glabra
DDEV	Canellales	Canellaceae	Canella	Canella_winterana
IFCJ	Canellales	Canellaceae	Canella	Canella_winterana
SJEV	Canellales	Canellaceae	Canella	Canella_winterana
WKSU	Canellales	Winteraceae	Drimys	Drimys_winteri
WAIL	Laurales	Atherospermataceae	Laurelia	Laurelia_sempervirens
FALI	Laurales	Calycanthaceae	Calycanthus	Calycanthus_floridus
WPHN	Laurales	Calycanthaceae	Idiospermum	Idiospermum_australiense
MAQO	Laurales	Gomortegaceae	Gomortega	Gomortega_keule
BSVG	Laurales	Hernandiaceae	Gyrocarpus	Gyrocarpus_americanus
VYLQ	Laurales	Lauraceae	Cassytha	Cassytha_filiformis
BCGB	Laurales	Lauraceae	Cinnamomum	Cinnamomum_camphora
KAYP	Laurales	Lauraceae	Lindera	Lindera_benzoin
WIGA	Laurales	Lauraceae	Persea	Persea_borbonia
ABSS	Laurales	Lauraceae	Sassafras	Sassafras_albidum
KRJP	Laurales	Monimiaceae	Peumus	Peumus_boldus
YZRI	Magnoliales	Annonaceae	Annona	Annona_muricata
PSJT	Magnoliales	Annonaceae	Uvaria	Uvaria_microcarpa
DHPO	Magnoliales	Eupomatiaceae	Eupomatia	Eupomatia_bennettii
WBOD	Magnoliales	Magnoliaceae	Magnolia	Magnolia_grandiflora
XQWC	Magnoliales	Magnoliaceae	Michelia	Michelia_maudiae
OBPL	Magnoliales	Myristicaceae	Myristica	Myristica_fragrans
PAWA	Piperales	Aristolochiaceae	Aristolochia	Aristolochia_elegans
QDVW	Piperales	Aristolochiaceae	Saruma	Saruma_henryi
XSZI	Piperales	Piperaceae	Peperomia	Peperomia_fraseri
MUNP	Piperales	Piperaceae	Piper	Piper_auritum
CSSK	Piperales	Saururaceae	Houttuynia	Houttuynia_cordata
OPDF	Piperales	Saururaceae	Saururus	Saururus_cernuus
YHFG	Ranunculales	Berberidaceae	Nandina	Nandina_domestica
WFBF	Ranunculales	Berberidaceae	Podophyllum	Podophyllum_peltatum
QTJY	Ranunculales	Eupteleaceae	Euptelea	Euptelea_pleiosperma
CCID	Ranunculales	Lardizabalaceae	Akebia	Akebia_trifoliata
LVNW	Ranunculales	Menispermaceae	Cocculus	Cocculus_laurifolius
BFMT	Ranunculales	Papaveraceae	Argemone	Argemone_mexicana
CCHG	Ranunculales	Papaveraceae	Argemone	Argemone_mexicana
GOQJ	Ranunculales	Papaveraceae	Argemone	Argemone_mexicana
IRAF	Ranunculales	Papaveraceae	Argemone	Argemone_mexicana
SMZF	Ranunculales	Papaveraceae	Argemone	Argemone_mexicana
YDEH	Ranunculales	Papaveraceae	Argemone	Argemone_mexicana
AUGV	Ranunculales	Papaveraceae	Capnoides	Capnoides_sempervirens
UDHA	Ranunculales	Papaveraceae	Ceratocapnos	Ceratocapnos_vesicaria
XMVD	Ranunculales	Papaveraceae	Chelidonium	Chelidonium_majus
ZGQD	Ranunculales	Papaveraceae	Corydalis	Corydalis_linstowiana
ERXG	Ranunculales	Papaveraceae	Eschscholzia	Eschscholzia_californica
EVOD	Ranunculales	Papaveraceae	Eschscholzia	Eschscholzia_californica
NJKC	Ranunculales	Papaveraceae	Eschscholzia	Eschscholzia_californica
RKGT	Ranunculales	Papaveraceae	Eschscholzia	Eschscholzia_californica
TUHA	Ranunculales	Papaveraceae	Eschscholzia	Eschscholzia_californica
UNPT	Ranunculales	Papaveraceae	Eschscholzia	Eschscholzia_californica
NMGG	Ranunculales	Papaveraceae	Hypecoum	Hypecoum_procumbens
RRID	Ranunculales	Papaveraceae	Papaver	Papaver_bracteatum
SSDU	Ranunculales	Papaveraceae	Papaver	Papaver_bracteatum
TMWO	Ranunculales	Papaveraceae	Papaver	Papaver_bracteatum
ZSNV	Ranunculales	Papaveraceae	Papaver	Papaver_bracteatum
